# curated/lemmas.tsv: headword-level decisions. Columns: lemma<TAB>pos<TAB>tier<TAB>tags
# tier: 1|2|3|x (x = removed). Empty tier is allowed when a tag implies one (see TAG_POLICY in engine.js).
# pos: N|V|A|ADV for MorphoBr lemmas, or a stub label (PROP, ABBR, INTJ, LOAN, -).
# tags: comma-separated (english, firstname, nonword, polemic, place, abbrev, interj, country, ...).
screen	-	3	english
script	N	3	english
sebento	-	2
sec	N	3
security	-	3	english
sedem	N	3
seg	-	3	english
segreda	A	2
self	-	3
seller	-	3
sen	-	3	english
serena	N	3
serzes	-	3
serzis	-	3
set	N	3
sex	-	3	english
sexy	A	3
shake	-	3	english
shampoo	-	3
sigma	N	3
silfo	N	3
sin	-	3	english
sinado	-	3
sinai	-	3
sinam	-	3
sinamos	-	3
sinando	-	3
sinar	-	3
sinara	-	3
sinaram	-	3
sinaramos	-	3
sinarao	-	3
sinaras	-	3
sinardes	-	3
sinarei	-	3
sinareis	-	3
sinarem	-	3
sinaremos	-	3
sinares	-	3
sinaria	-	3
sinariam	-	3
sinariamos	-	3
sinarias	-	3
sinarieis	-	3
sinarmos	-	3
sinasse	-	3
sinasseis	-	3
sinassem	-	3
sinassemos	-	3
sinasses	-	3
sinaste	-	3
sinastes	-	3
sinava	-	3
sinavam	-	3
sinavamos	-	3
sinavas	-	3
sinaveis	-	3
sine	-	3
sinei	-	3
sineis	-	3
sinem	-	3
sinemos	-	3
sines	-	3	english
single	N	3
sinou	-	3
sir	N	3	english
sirzas	-	3
sismas	-	3
sismes	-	3
skank	-	3
ski	N	3	english
skin	-	3	english
skype	-	3
slide	N	3
slogan	N	3
slot	LOAN	3	english
soado	A	3
soca	N	3
socol	-	3
soer	V	3
soft	-	3	english
solicito	A	3
sombria	N	3
sona	-	3
sonado	-	3
sonai	-	3
sonais	-	3
sonam	-	3
sonamos	-	3
sonando	-	3
sonar	-	3
sonara	-	3
sonaram	-	3
sonaramos	-	3
sonarao	-	3
sonaras	-	3
sonardes	-	3
sonarei	-	3
sonareis	-	3
sonarem	-	3
sonaremos	-	3
sonaria	-	3
sonariam	-	3
sonariamos	-	3
sonarias	-	3
sonarieis	-	3
sonarmos	-	3
sonas	-	3
sonasse	-	3
sonasseis	-	3
sonassem	-	3
sonassemos	-	3
sonasses	-	3
sonaste	-	3
sonastes	-	3
sonava	N	3
sonavam	-	3
sonavamos	-	3
sonavas	-	3
sonaveis	-	3
sone	-	3
sonei	-	3
soneis	-	3
sonem	-	3
sonemos	-	3
sones	-	3	english
sonou	-	3
sossega	N	2
soul	-	x
spa	-	3
spam	-	3
spin	N	3
